Audio File,WER,Precision,Recall,F1-Score,Total Errors,Substitutions,Insertions,Deletions,Ref Words,Hyp Words,Common Words
Script_10_with_effects.wav,5.38%,93.75%,95.74%,94.74%,10,6,4,0,186,190,135
Script_11_with_effects.wav,4.56%,94.51%,97.48%,95.98%,11,5,6,0,241,247,155
Script_12_with_effects.wav,3.18%,96.79%,97.42%,97.11%,7,4,3,0,220,223,151
Script_1_with_effects.wav,1.83%,97.47%,97.47%,97.47%,4,4,0,0,218,218,154
Script_2_with_effects.wav,4.02%,98.40%,98.40%,98.40%,7,3,1,3,174,172,123
Script_4_with_effects.wav,6.18%,97.48%,95.08%,96.27%,11,3,0,8,178,170,116
Script_5_with_effects.wav,3.54%,99.21%,98.44%,98.82%,7,2,0,5,198,193,126
Script_6_with_effects.wav,3.29%,100.00%,98.52%,99.25%,7,0,0,7,213,206,133
Script_7_with_effects.wav,6.60%,96.50%,95.17%,95.83%,14,5,2,7,212,207,138
Script_8_with_effects.wav,1.64%,98.27%,98.27%,98.27%,4,2,1,1,244,244,170
Script_9_with_effects.wav,5.13%,94.56%,94.56%,94.56%,10,8,2,0,195,197,139
