Audio File,WER,Precision,Recall,F1-Score,Total Errors,Substitutions,Insertions,Deletions,Ref Words,Hyp Words,Common Words
Script_10_with_effects.wav,3.76%,96.45%,96.45%,96.45%,7,4,2,1,186,187,136
Script_11_with_effects.wav,4.56%,94.51%,97.48%,95.98%,11,5,6,0,241,247,155
Script_12_with_effects.wav,0.91%,98.71%,98.71%,98.71%,2,2,0,0,220,220,153
Script_1_with_effects.wav,2.29%,98.09%,97.47%,97.78%,5,3,0,2,218,216,154
Script_2_with_effects.wav,4.02%,98.40%,98.40%,98.40%,7,3,1,3,174,172,123
Script_4_with_effects.wav,4.49%,99.17%,97.54%,98.35%,8,1,0,7,178,171,119
Script_5_with_effects.wav,3.54%,99.21%,98.44%,98.82%,7,2,0,5,198,193,126
Script_6_with_effects.wav,3.76%,100.00%,99.26%,99.63%,8,0,1,7,213,207,134
Script_7_with_effects.wav,6.13%,97.18%,95.17%,96.17%,13,5,1,7,212,206,138
Script_8_with_effects.wav,1.23%,98.84%,98.84%,98.84%,3,1,1,1,244,244,171
Script_9_with_effects.wav,3.59%,96.60%,96.60%,96.60%,7,5,2,0,195,197,142
